Original Entry,Title,Year,Format,TMDB Search JSON,TMDB ID,TMDB Rating,Genre,Poster Path,Cover URL,Cover Image,Runtime (min),Overview,Release Date,Watched?,My Rating (1-5),Notes,TMDB Source URL,Match Status
Happiness (1998),Happiness,1998,Blu-ray,,10683,7.43,"Comedy, Drama",/rYfUcEV88Z3gENrfYTE6i8yBkDr.jpg,https://image.tmdb.org/t/p/w342/rYfUcEV88Z3gENrfYTE6i8yBkDr.jpg,,140,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",1998-10-11,Watched,5,,https://www.themoviedb.org/movie/10683,Matched
Happy Gilmore (1996),Happy Gilmore,1996,Blu-ray,,9614,6.7,Comedy,/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,https://image.tmdb.org/t/p/w342/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,,92,"Failed hockey player-turned-golf whiz Happy Gilmore — whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin — is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",1996-02-16,Watched,4,,https://www.themoviedb.org/movie/9614,Matched
Harold & Kumar Escape from Guantanamo Bay (2008),Harold & Kumar Escape from Guantanamo Bay,2008,Blu-ray,,13335,6.3,"Comedy, Adventure",/gmXKlm8c8O7JEISYP4WiWq2x3We.jpg,https://image.tmdb.org/t/p/w342/gmXKlm8c8O7JEISYP4WiWq2x3We.jpg,,101,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",2008-04-25,Watched,5,,https://www.themoviedb.org/movie/13335,Matched
Harold & Kumar Go to White Castle (2004),Harold & Kumar Go to White Castle,2004,Blu-ray,,11282,6.558,"Comedy, Adventure",/5vO7R4xYlDipTp8gzfRbWegO8eb.jpg,https://image.tmdb.org/t/p/w342/5vO7R4xYlDipTp8gzfRbWegO8eb.jpg,,88,"Nerdy accountant Harold and his irrepressible friend, Kumar, get stoned watching television and find themselves utterly bewitched by a commercial for White Castle. Convinced there must be one nearby, the two set out on a late-night odyssey that takes them deep into New Jersey. Somehow, the boys manage to run afoul of rednecks, cops and even a car-stealing Neil Patrick Harris before getting anywhere near their beloved sliders.",2004-07-02,Watched,5,,https://www.themoviedb.org/movie/11282,Matched
The Haunting of Bly Manor (2020),The Haunting of Bly Manor,2020,Blu-ray,,,,,,,,,,,Watched,5,,,No TMDB match / check title-year
The Haunting of Hill House (2018),The Haunting of Hill House,2018,Blu-ray,,,,,,,,,,,Watched,5,,,No TMDB match / check title-year
Hell Fest (2018),Hell Fest,2018,Blu-ray,,429476,5.676,"Horror, Thriller",/qgLlnlrUtTKXkdrgMBwUfkyAkya.jpg,https://image.tmdb.org/t/p/w342/qgLlnlrUtTKXkdrgMBwUfkyAkya.jpg,,89,"On Halloween night at a horror theme park, a costumed killer begins slaying innocent patrons who believe that it's all part of the festivities.",2018-09-27,Unwatched,,,https://www.themoviedb.org/movie/429476,Matched
Hell House LLC II: The Abaddon Hotel (2018),Hell House LLC II: The Abaddon Hotel,2018,Blu-ray,,532973,5.714,"Horror, Mystery",/sFPkQLUq8wmNOL2XMow4WF5tOpu.jpg,https://image.tmdb.org/t/p/w342/sFPkQLUq8wmNOL2XMow4WF5tOpu.jpg,,90,"Eight years after the opening night tragedy of HELL HOUSE LLC, many unanswered questions remain. Thanks to an anonymous tip, an investigative journalist is convinced that key evidence is hidden inside the abandoned Abaddon Hotel. She assembles a team to break into the hotel in hopes of discovering the truth. But the source of the tip and the secrets of the Abaddon Hotel are more horrifying than any of them could have imagined.",2018-09-14,Unwatched,,,https://www.themoviedb.org/movie/532973,Matched
Hell House LLC III: Lake of Fire (2019),Hell House LLC III: Lake of Fire,2019,Blu-ray,,614722,5.199,"Horror, Mystery",/gchygJq6AnzGFg0uYRDKn7mqsyU.jpg,https://image.tmdb.org/t/p/w342/gchygJq6AnzGFg0uYRDKn7mqsyU.jpg,,86,"Set one year after the events of Hell House LLC II, the hotel is on the verge of being torn down when it is purchased by billionaire Russell Wynn as the new home for his popular interactive show, Insomnia. He invites journalist Venessa Sheppard and her crew to record everything happening inside the hotel leading up to the performance - but they soon encounter a more nefarious plot, one that threatens to unleash a veritable hell on earth.",2019-09-19,Unwatched,,,https://www.themoviedb.org/movie/614722,Matched
Hell House LLC Origins: The Carmichael Manor (2023),Hell House LLC Origins: The Carmichael Manor,2023,Blu-ray,,1035982,6.568,"Horror, Mystery",/bsd1ovBNOhYpQElhlZAqpMo51q6.jpg,https://image.tmdb.org/t/p/w342/bsd1ovBNOhYpQElhlZAqpMo51q6.jpg,,98,"A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.",2023-10-24,Watched,5,,https://www.themoviedb.org/movie/1035982,Matched
